Sex,Age,Time_at_address,Res_status,Telephone,Occupation,Job_status,Time_employed,Time_bank,Liab_ref,Acc_ref,Home_Expn,Balance,Decision
F,20.82999992,0.5,rent,not_given,executive,student,1,0,f,given,260,0,reject
F,25.25,13.5,rent,not_given,unemploye,unemploye,2,1,t,given,200,1,reject
M,23.92000008,0.665000021,owner,given,creative_,private_s,0,0,f,given,100,0,accept
M,41.91999817,0.419999987,owner,given,creative_,governmen,0,6,f,given,220,948,accept
M,28.32999992,5,owner,given,productio,private_s,11,0,t,given,70,0,accept
F,26.17000008,2,owner,given,labourer,private_s,0,0,t,given,276,1,reject
M,20.5,10,rent,not_given,creative_,private_s,2,0,f,oth_inst_,40,0,accept
M,22.57999992,1.5,rent,not_given,sales,private_s,0,0,t,given,120,67,reject
F,28.5,1,owner,given,office_st,private_s,1,2,t,given,167,500,reject
M,54.41999817,0.5,rent,not_given,labourer,governmen,3,0,f,given,180,314,accept
M,19.42000008,7.25,owner,given,manager,private_s,0,1,f,given,100,1,reject
M,28.67000008,9.335000038,owner,given,office_st,governmen,5,6,f,given,381,168,accept
F,18.82999992,9.539999962,owner,given,sales,private_s,0,0,f,given,100,0,accept
M,59.5,2.75,owner,given,productio,private_s,1,5,t,given,60,58,accept
F,24.5,0.5,owner,given,office_st,governmen,1,0,f,given,280,824,accept
M,44.33000183,0.5,owner,given,guard_etc,governmen,5,0,t,given,320,0,accept
M,47.66999817,2.5,owner,given,manager,self_empl,2,12,t,given,410,2510,accept
M,18.17000008,2.460000038,owner,given,creative_,military,0,2,t,given,160,587,reject
M,20.75,5.085000038,rent,not_given,labourer,private_s,0,0,f,given,140,184,reject
M,27.25,1.585000038,owner,given,semi_pro,governmen,1,12,t,given,583,713,accept
M,34.91999817,5,owner,given,professio,governmen,7,6,t,given,0,1000,accept
F,58.66999817,4.460000038,owner,given,office_st,governmen,3,6,f,given,43,560,accept
M,20.67000008,1.25,rent,not_given,creative_,governmen,1,3,t,given,140,210,reject
M,25.67000008,0.289999992,rent,not_given,creative_,private_s,1,0,t,given,160,0,reject
M,36.16999817,0.419999987,rent,not_given,productio,private_s,0,0,t,given,309,2,reject
F,32.16999817,1.460000038,owner,given,productio,private_s,1,16,f,given,120,2079,accept
M,21.17000008,0.25,rent,not_given,creative_,governmen,0,0,f,given,280,204,reject
M,20.42000008,1.085000038,owner,given,office_st,private_s,1,0,f,given,108,7,reject
M,40.25,21.5,owner,given,executive,retired,20,11,f,given,0,1200,accept
M,20.67000008,0.414999992,owner,given,creative_,private_s,0,0,f,given,0,44,reject
M,67.75,5.5,owner,given,executive,retired,13,1,t,given,0,0,accept
M,31,2.085000038,owner,given,creative_,private_s,0,0,f,given,300,0,reject
F,26.57999992,2.539999962,rent,not_given,unemploye,unemploye,0,0,t,given,180,60,reject
M,30.07999992,1.039999962,rent,not_given,guard_etc,self_empl,0,10,t,given,132,28,reject
F,26.92000008,13.5,owner,given,office_st,governmen,5,2,f,given,0,5000,accept
M,48.75,8.5,owner,given,creative_,governmen,12,9,f,given,181,1655,accept
F,24.5,1.75,rent,not_given,creative_,private_s,0,0,f,given,132,0,reject
M,21.67000008,1.164999962,rent,not_given,labourer,private_s,2,1,f,given,180,20,reject
F,24.32999992,2.5,rent,not_given,guard_etc,self_empl,4,0,f,given,200,456,reject
F,23.5,9,owner,given,office_st,private_s,8,5,t,given,120,0,accept
F,30,5.289999962,owner,given,executive,student,2,5,t,given,99,500,accept
F,20.32999992,10,owner,given,creative_,governmen,1,4,f,given,50,1465,accept
F,46,4,owner,given,labourer,private_s,0,0,f,given,100,960,accept
M,34.66999817,1.080000043,owner,given,manager,private_s,1,0,f,oth_inst_,28,0,reject
F,24.5,2.414999962,rent,not_given,creative_,private_s,0,0,f,given,120,0,reject
F,29.57999992,1.75,rent,not_given,labourer,private_s,1,0,t,given,280,0,reject
F,25.32999992,2.085000038,owner,given,creative_,governmen,2,0,t,given,360,1,reject
M,29.82999992,2.039999962,rent,not_given,professio,governmen,0,0,f,given,128,1,reject
F,18.25,10,owner,given,productio,private_s,1,1,f,given,120,1,reject
M,25.82999992,12.83500004,owner,given,semi_pro,private_s,0,0,f,given,0,2,reject
M,25.17000008,3,owner,given,creative_,private_s,1,1,f,given,0,22,reject
F,20.75,10.25,owner,given,office_st,private_s,0,2,t,given,49,0,accept
M,18.07999992,5.5,owner,given,labourer,private_s,0,0,f,given,80,0,accept
M,37.33000183,6.5,owner,given,manager,governmen,4,12,t,given,93,0,accept
F,53.33000183,0.165000007,owner,given,unemploye,unemploye,0,0,t,oth_inst_,62,27,reject
M,31.25,1.125,owner,given,unemploye,unemploye,0,1,f,given,96,19,reject
M,36.5,4.25,owner,given,office_st,private_s,3,0,f,given,454,50,reject
M,22.17000008,0.584999979,rent,not_given,unemploye,unemploye,0,0,f,given,100,0,reject
M,43,0.289999992,rent,not_given,semi_pro,governmen,1,8,f,given,100,375,accept
M,52.33000183,1.375,rent,not_given,creative_,governmen,9,0,t,given,200,100,reject
M,21.82999992,0.25,owner,given,driver,governmen,0,0,t,given,0,0,accept
M,25.67000008,3.25,owner,given,creative_,governmen,2,1,t,given,416,21,reject
F,22.67000008,0.75,owner,given,creative_,private_s,2,2,t,given,200,394,reject
F,33.66999817,0.375,owner,given,semi_pro,private_s,0,0,f,given,300,44,accept
F,21.67000008,11.5,rent,not_given,labourer,private_s,0,11,t,given,0,0,accept
M,62.75,7,owner,given,executive,retired,0,0,f,given,0,12,reject
M,23.32999992,11.625,rent,not_given,productio,private_s,0,0,t,given,160,300,accept
M,31.32999992,19.5,owner,given,creative_,private_s,7,16,f,given,0,5000,accept
M,25,12,owner,given,labourer,private_s,2,2,t,given,120,5,reject
M,40.58000183,3.289999962,owner,given,manager,private_s,3,0,t,oth_inst_,400,0,reject
M,25.75,0.75,owner,given,creative_,self_empl,0,0,f,given,349,23,accept
M,49.5,7.585000038,owner,given,guard_etc,self_empl,7,15,t,given,0,5000,accept
M,18.25,0.165000007,owner,given,driver,private_s,0,0,t,oth_inst_,280,0,reject
F,38.33000183,4.414999962,owner,given,creative_,private_s,0,0,f,given,160,0,reject
M,44.83000183,7,rent,not_given,creative_,private_s,1,0,f,given,160,2,reject
M,31.57999992,0.75,rent,not_given,sales,private_s,3,0,t,given,320,0,reject
M,25.92000008,0.875,owner,given,labourer,private_s,0,2,t,given,174,3,reject
M,42.75,3,owner,given,guard_etc,self_empl,1,0,f,given,0,200,reject
M,17.07999992,0.085000001,rent,not_given,creative_,private_s,0,0,f,given,140,722,reject
M,28.17000008,0.125,rent,not_given,labourer,private_s,0,0,f,given,216,2100,reject
M,17.92000008,0.204999998,owner,given,sales,private_s,0,0,f,given,280,750,reject
M,25.42000008,0.540000021,owner,given,productio,private_s,0,1,f,given,272,444,reject
M,30.67000008,2.5,owner,given,semi_pro,governmen,2,0,t,oth_inst_,340,0,reject
M,34.16999817,2.75,owner,given,guard_etc,self_empl,2,0,t,given,232,200,reject
F,22.25,1.25,rent,not_given,unemploye,unemploye,3,0,f,given,280,0,reject
M,23.32999992,1.5,owner,given,creative_,governmen,1,0,f,given,422,200,accept
M,21,4.789999962,rent,not_given,productio,private_s,2,1,t,given,80,300,accept
M,27.75,1.289999962,owner,given,labourer,governmen,0,0,t,oth_inst_,140,0,reject
